name,category,brand,price,availability,url,dispensary_name,scraped_at
Bobsled 1g APE DIESEL Cured Resin Dab Jar 1g Concentrates,Indica - 8.76% Terpenes,Bobsled Extracts,8.40,InStock,https://www.treasurevalleycannabis.com/product/bobsled-1g-ape-diesel-cured-resin-dab-jar-68b0e8407679b70007884b6a/,Treasure Valley Cannabis,2026-03-28T06:22:54.155123Z
Bobsled 1g HAWAIIAN HAZE Cured Resin Dab Jar 1g Concentrates,Sativa - 7.16% Terpenes,Bobsled Extracts,8.40,InStock,https://www.treasurevalleycannabis.com/product/bobsled-1g-hawaiian-haze-cured-resin-dab-jar-68b0e7ac65f5ad00071b3751/,Treasure Valley Cannabis,2026-03-28T06:22:54.166198Z
Mule Extracts 1g BLUE HALO LR Dank Tank 1g Vaporizers,Sativa-Hybrid - 6.90% Terpenes,Mule Extracts,25.20,InStock,https://www.treasurevalleycannabis.com/product/mule-extracts-1g-blue-halo-lr-dank-tank-68b0fa7565f5ad00071bbf1e/,Treasure Valley Cannabis,2026-03-28T06:22:54.406687Z
1:1:1 Blackberry Lemonade Pearls &#8211; CBN/CBD/THC &#8211; Sleepy Indica 35g Edibles,"Cozy up and wind down with Blackberry Lemonade Pearls. Infused with equal parts CBD, CBN, and THC in a 1:1:1 ratio, the sleepy indica effects will keep you",Grön,16.80,InStock,https://www.treasurevalleycannabis.com/product/1-1-1-blackberry-lemonade-pearls-cbn-cbd-thc-sleepy-indica-68a903a88a5c6e000768f239/,Treasure Valley Cannabis,2026-03-28T06:22:54.421952Z
Freshy 1g KILLER KIWI Flavored Live Resin All-In-One 1g Vaporizers,Sativa - N/A% Terpenes,FRESHY,19.80,InStock,https://www.treasurevalleycannabis.com/product/freshy-1g-killer-kiwi-flavored-live-resin-all-in-one-68b0e21db13e640007b9416a/,Treasure Valley Cannabis,2026-03-28T06:22:55.100246Z
Mule Extracts 2g SATIVA SOUFFLE M-Tec Distillate Dank Tank 2g Vaporizers,Sativa - 5.15% Terpenes,Mule Extracts,28.00,InStock,https://www.treasurevalleycannabis.com/product/mule-extracts-2g-sativa-souffle-m-tec-distillate-dank-tank-68a6227d861df10007a6dbbb/,Treasure Valley Cannabis,2026-03-28T06:22:55.110276Z
Freshy 1g MIMOSA Flavored Live Resin + Melted Diamonds All-In-One 1g Vaporizers,Hybrid,FRESHY,13.20,InStock,https://www.treasurevalleycannabis.com/product/freshy-1g-mimosa-flavored-live-resin-melted-diamonds-all-in-one-68b0e21db13e640007b94167/,Treasure Valley Cannabis,2026-03-28T06:22:55.119804Z
Mule Extracts 2g DUSTY ROSE LR Dank Tank 2g Vaporizers,Indica-Hybrid - 4.07% Terpenes,Mule Extracts,37.80,InStock,https://www.treasurevalleycannabis.com/product/mule-extracts-2g-dusty-rose-lr-dank-tank-68b0fa7565f5ad00071bbf1b/,Treasure Valley Cannabis,2026-03-28T06:22:55.130819Z
Entourage Cannabis 2g STREET HEAT Live Resin All-In-One Cannabis Extract Vaporizer 2g Vaporizers,Indica-Hybrid - 17.93% Terpenes,Entourage Cannabis,45.49,InStock,https://www.treasurevalleycannabis.com/product/entourage-cannabis-2g-street-heat-live-resin-all-in-one-cannabis-extract-vaporizer-68b0fa7465f5ad00071bbf15/,Treasure Valley Cannabis,2026-03-28T06:22:55.140883Z
Bobsled 1g APRICOT JELLY Cured Resin Dab Jar 1g Concentrates,Hybrid - 6.79% Terpenes,Bobsled Extracts,8.40,InStock,https://www.treasurevalleycannabis.com/product/bobsled-1g-apricot-jelly-cured-resin-dab-jar-68b0ec697679b70007886907/,Treasure Valley Cannabis,2026-03-28T06:22:55.150333Z
$100 White Spur 1oz Flower,Hybrid - 2.86% Terpenes - Zkittlez X Gelato Lineage,Gud Gardens,100.00,InStock,https://www.treasurevalleycannabis.com/product/100-white-spur-68b1a3377679b7000789f8fe/,Treasure Valley Cannabis,2026-03-28T06:22:55.169008Z
THC Orange Yuzu Rosin Pearls &#8211; Sativa 35g Edibles,"Pucker up and power through with Orange Yuzu Pearls. Bringing big, bold flavor with a tangy twist, these Pearls will wake up your taste buds and help you",Grön,24.00,InStock,https://www.treasurevalleycannabis.com/product/thc-orange-yuzu-rosin-pearls-sativa-6865e512f67437000731d53c/,Treasure Valley Cannabis,2026-03-28T06:22:55.191354Z
$6 Double Solo Burger 1g Flower,Indica-Hybrid - 2.53% Terpenes,Piff Stixs,3.60,InStock,https://www.treasurevalleycannabis.com/product/6-double-solo-burger-68b1bf57e8f23000076e4c9c/,Treasure Valley Cannabis,2026-03-28T06:22:55.209394Z
Wyld 100mg HUCKLEBERRY Hybrid Gummies 10pk 40g Edibles,Hybrid,Wyld,10.80,InStock,https://www.treasurevalleycannabis.com/product/wyld-100mg-huckleberry-hybrid-gummies-10pk-68b0ec697679b7000788690d/,Treasure Valley Cannabis,2026-03-28T06:22:55.220719Z
1:1 Peach Prosecco Pearls &#8211; CBD/THC &#8211; Hybrid 35g Edibles,"You’re going to love the light, bright Peach Prosecco flavor in these Pearls. Infused with equal parts CBD and THC, the hybrid effects will leave you balanced",Grön,20.00,InStock,https://www.treasurevalleycannabis.com/product/1-1-peach-prosecco-pearls-cbd-thc-hybrid-68ac7955199344000789ab46/,Treasure Valley Cannabis,2026-03-28T06:22:55.233046Z
Baja Blaze Mega 20g Edibles,Ride a wave of flavor with a sun-kissed splash of sour and sweet. It&#039;s the taste of paradise turned all the way up! Pair with tacos or chips &amp; salsa for a,Grön,12.00,InStock,https://www.treasurevalleycannabis.com/product/baja-blaze-mega-57766-6865e512f67437000731d53f/,Treasure Valley Cannabis,2026-03-28T06:22:55.244155Z
Bobsled GARLIC MINTS Cured Resin Dab Jar 1g Concentrates,Hybrid - 6.66% Terpenes,Bobsled Extracts,12.00,InStock,https://www.treasurevalleycannabis.com/product/bobsled-garlic-mints-cured-resin-dab-jar-68b0ec697679b7000788690a/,Treasure Valley Cannabis,2026-03-28T06:22:55.255424Z
$14 Mac Mosa 1g Flower,Hybrid,PDX Organix,9.80,InStock,https://www.treasurevalleycannabis.com/product/14-mac-mosa-68b0e21db13e640007b9415c/,Treasure Valley Cannabis,2026-03-28T06:22:55.265517Z
Entourage Cannabis 2g BLUE DREAM OG Live Resin All-In-One Cannabis Extract Vaporizer 2g Vaporizers,Sativa-Hybrid - 10.04% Terpenes,Entourage Cannabis,45.49,InStock,https://www.treasurevalleycannabis.com/product/entourage-cannabis-2g-blue-dream-og-live-resin-all-in-one-cannabis-extract-vaporizer-68b0fa7465f5ad00071bbf18/,Treasure Valley Cannabis,2026-03-28T06:22:55.275414Z
5mm &#8211; 8” Pastel Ribbed Straight Tube &#8211; &#8211; SLIME GREEN N/A Accessories,GREEN N/A Accessories,Treasure Valley Cannabis Co. (Glass),30.00,InStock,https://www.treasurevalleycannabis.com/product/5mm-8-pastel-ribbed-straight-tube-slime-green-68afe133f2213100070f9211/,Treasure Valley Cannabis,2026-03-28T06:22:55.285085Z
