name,category,brand,price,availability,url,dispensary_name,scraped_at
1:1:1 Blackberry Lemonade Pearls &#8211; CBN/CBD/THC &#8211; Sleepy Indica 35g Edibles,"Cozy up and wind down with Blackberry Lemonade Pearls. Infused with equal parts CBD, CBN, and THC in a 1:1:1 ratio, the sleepy indica effects will keep you",Grön,16.80,InStock,https://www.treasurevalleycannabis.com/product/1-1-1-blackberry-lemonade-pearls-cbn-cbd-thc-sleepy-indica-68a903a88a5c6e000768f239/,Treasure Valley Cannabis,2026-03-28T01:33:04.015268Z
Orange Dreamsicle 1g Vaporizers,Freshy is a completely new experience that&#039;s changing the way people look at flavored cannabis. Most flavors are simply &#039;sugar bombs&#039; that mask the taste and,FRESHY,12.00,InStock,https://www.treasurevalleycannabis.com/product/orange-dreamsicle-10663-6898eb08c9892200078f30be/,Treasure Valley Cannabis,2026-03-28T01:33:04.041045Z
$6 Double Solo Burger 1g Flower,Indica-Hybrid - 2.53% Terpenes,Piff Stixs,3.60,InStock,https://www.treasurevalleycannabis.com/product/6-double-solo-burger-68b1bf57e8f23000076e4c9c/,Treasure Valley Cannabis,2026-03-28T01:33:04.059055Z
$100 White Spur 1oz Flower,Hybrid - 2.86% Terpenes - Zkittlez X Gelato Lineage,Gud Gardens,100.00,InStock,https://www.treasurevalleycannabis.com/product/100-white-spur-68b1a3377679b7000789f8fe/,Treasure Valley Cannabis,2026-03-28T01:33:04.076393Z
Bobsled 1g APE DIESEL Cured Resin Dab Jar 1g Concentrates,Indica - 8.76% Terpenes,Bobsled Extracts,8.40,InStock,https://www.treasurevalleycannabis.com/product/bobsled-1g-ape-diesel-cured-resin-dab-jar-68b0e8407679b70007884b6a/,Treasure Valley Cannabis,2026-03-28T01:33:04.125946Z
Mule Extracts 1g BLUE HALO LR Dank Tank 1g Vaporizers,Sativa-Hybrid - 6.90% Terpenes,Mule Extracts,25.20,InStock,https://www.treasurevalleycannabis.com/product/mule-extracts-1g-blue-halo-lr-dank-tank-68b0fa7565f5ad00071bbf1e/,Treasure Valley Cannabis,2026-03-28T01:33:04.185936Z
Bobsled 1g HAWAIIAN HAZE Cured Resin Dab Jar 1g Concentrates,Sativa - 7.16% Terpenes,Bobsled Extracts,8.40,InStock,https://www.treasurevalleycannabis.com/product/bobsled-1g-hawaiian-haze-cured-resin-dab-jar-68b0e7ac65f5ad00071b3751/,Treasure Valley Cannabis,2026-03-28T01:33:04.196914Z
$14 Mac Mosa 1g Flower,Hybrid,PDX Organix,9.80,InStock,https://www.treasurevalleycannabis.com/product/14-mac-mosa-68b0e21db13e640007b9415c/,Treasure Valley Cannabis,2026-03-28T01:33:04.208662Z
Freshy 1g KILLER KIWI Flavored Live Resin All-In-One 1g Vaporizers,Sativa - N/A% Terpenes,FRESHY,19.80,InStock,https://www.treasurevalleycannabis.com/product/freshy-1g-killer-kiwi-flavored-live-resin-all-in-one-68b0e21db13e640007b9416a/,Treasure Valley Cannabis,2026-03-28T01:33:04.231993Z
Wyld 100mg HUCKLEBERRY Hybrid Gummies 10pk 40g Edibles,Hybrid,Wyld,10.80,InStock,https://www.treasurevalleycannabis.com/product/wyld-100mg-huckleberry-hybrid-gummies-10pk-68b0ec697679b7000788690d/,Treasure Valley Cannabis,2026-03-28T01:33:04.875294Z
