name,brand,price,availability,url
$6 Double Solo Burger 1g Flower,Piff Stixs,3.6,InStock,https://www.treasurevalleycannabis.com/product/6-double-solo-burger-68b1bf57e8f23000076e4c9c/
1:1:1 Blackberry Lemonade Pearls &#8211; CBN/CBD/THC &#8211; Sleepy Indica 35g Edibles,Grön,16.8,InStock,https://www.treasurevalleycannabis.com/product/1-1-1-blackberry-lemonade-pearls-cbn-cbd-thc-sleepy-indica-68a903a88a5c6e000768f239/
$100 White Spur 1oz Flower,Gud Gardens,100,InStock,https://www.treasurevalleycannabis.com/product/100-white-spur-68b1a3377679b7000789f8fe/
Orange Dreamsicle 1g Vaporizers,FRESHY,12,InStock,https://www.treasurevalleycannabis.com/product/orange-dreamsicle-10663-6898eb08c9892200078f30be/
Wyld 100mg HUCKLEBERRY Hybrid Gummies 10pk 40g Edibles,Wyld,10.8,InStock,https://www.treasurevalleycannabis.com/product/wyld-100mg-huckleberry-hybrid-gummies-10pk-68b0ec697679b7000788690d/
Bobsled 1g APE DIESEL Cured Resin Dab Jar 1g Concentrates,Bobsled Extracts,8.4,InStock,https://www.treasurevalleycannabis.com/product/bobsled-1g-ape-diesel-cured-resin-dab-jar-68b0e8407679b70007884b6a/
Mule Extracts 1g BLUE HALO LR Dank Tank 1g Vaporizers,Mule Extracts,25.2,InStock,https://www.treasurevalleycannabis.com/product/mule-extracts-1g-blue-halo-lr-dank-tank-68b0fa7565f5ad00071bbf1e/
Bobsled 1g HAWAIIAN HAZE Cured Resin Dab Jar 1g Concentrates,Bobsled Extracts,8.4,InStock,https://www.treasurevalleycannabis.com/product/bobsled-1g-hawaiian-haze-cured-resin-dab-jar-68b0e7ac65f5ad00071b3751/
$14 Mac Mosa 1g Flower,PDX Organix,9.8,InStock,https://www.treasurevalleycannabis.com/product/14-mac-mosa-68b0e21db13e640007b9415c/
Freshy 1g KILLER KIWI Flavored Live Resin All-In-One 1g Vaporizers,FRESHY,19.8,InStock,https://www.treasurevalleycannabis.com/product/freshy-1g-killer-kiwi-flavored-live-resin-all-in-one-68b0e21db13e640007b9416a/
Freshy 1g MIMOSA Flavored Live Resin + Melted Diamonds All-In-One 1g Vaporizers,FRESHY,13.2,InStock,https://www.treasurevalleycannabis.com/product/freshy-1g-mimosa-flavored-live-resin-melted-diamonds-all-in-one-68b0e21db13e640007b94167/
Mule Extracts 2g SATIVA SOUFFLE M-Tec Distillate Dank Tank 2g Vaporizers,Mule Extracts,28,InStock,https://www.treasurevalleycannabis.com/product/mule-extracts-2g-sativa-souffle-m-tec-distillate-dank-tank-68a6227d861df10007a6dbbb/
Baja Blaze Mega 20g Edibles,Grön,12,InStock,https://www.treasurevalleycannabis.com/product/baja-blaze-mega-57766-6865e512f67437000731d53f/
1:1 Peach Prosecco Pearls &#8211; CBD/THC &#8211; Hybrid 35g Edibles,Grön,20,InStock,https://www.treasurevalleycannabis.com/product/1-1-peach-prosecco-pearls-cbd-thc-hybrid-68ac7955199344000789ab46/
THC Orange Yuzu Rosin Pearls &#8211; Sativa 35g Edibles,Grön,24,InStock,https://www.treasurevalleycannabis.com/product/thc-orange-yuzu-rosin-pearls-sativa-6865e512f67437000731d53c/
Mule Extracts 2g DUSTY ROSE LR Dank Tank 2g Vaporizers,Mule Extracts,37.8,InStock,https://www.treasurevalleycannabis.com/product/mule-extracts-2g-dusty-rose-lr-dank-tank-68b0fa7565f5ad00071bbf1b/
Entourage Cannabis 2g STREET HEAT Live Resin All-In-One Cannabis Extract Vaporizer 2g Vaporizers,Entourage Cannabis,45.49,InStock,https://www.treasurevalleycannabis.com/product/entourage-cannabis-2g-street-heat-live-resin-all-in-one-cannabis-extract-vaporizer-68b0fa7465f5ad00071bbf15/
Bobsled 1g APRICOT JELLY Cured Resin Dab Jar 1g Concentrates,Bobsled Extracts,8.4,InStock,https://www.treasurevalleycannabis.com/product/bobsled-1g-apricot-jelly-cured-resin-dab-jar-68b0ec697679b70007886907/
Entourage Cannabis 2g BLUE DREAM OG Live Resin All-In-One Cannabis Extract Vaporizer 2g Vaporizers,Entourage Cannabis,45.49,InStock,https://www.treasurevalleycannabis.com/product/entourage-cannabis-2g-blue-dream-og-live-resin-all-in-one-cannabis-extract-vaporizer-68b0fa7465f5ad00071bbf18/
Bobsled GARLIC MINTS Cured Resin Dab Jar 1g Concentrates,Bobsled Extracts,12,InStock,https://www.treasurevalleycannabis.com/product/bobsled-garlic-mints-cured-resin-dab-jar-68b0ec697679b7000788690a/
$ apricot Pie 1g Flower,Pacific Grove,8.4,InStock,https://www.treasurevalleycannabis.com/product/apricot-pie-68b0aaec7679b7000786ef70/
Verdant Leaf 100mg 1:1 THC:CBN BLUEBERRY &#8211; PAPAYA Live Rosin Nano-Infused Single Gummy 26.33g Edibles,Verdant Leaf,9,InStock,https://www.treasurevalleycannabis.com/product/verdant-leaf-100mg-1-1-thc-cbn-blueberry-papaya-live-rosin-nano-infused-single-gummy-68af8da2b13e640007b467b6/
5mm &#8211; 8” Pastel Ribbed Straight Tube &#8211; &#8211; SLIME GREEN N/A Accessories,Treasure Valley Cannabis Co. (Glass),30,InStock,https://www.treasurevalleycannabis.com/product/5mm-8-pastel-ribbed-straight-tube-slime-green-68afe133f2213100070f9211/
$80 Caliburger 27 1oz Flower,Treasure Valley Cannabis Company,80,InStock,https://www.treasurevalleycannabis.com/product/80-caliburger-27-68afc517e8f230000768701b/
Bobsled 1000mg AMNESIA HAZE Live Resin Tincture 1g Tinctures,Bobsled Extracts,25.2,InStock,https://www.treasurevalleycannabis.com/product/bobsled-1000mg-amnesia-haze-live-resin-tincture-68ae1f374db66b0007202395/
